state,fiscal_year,value,agency,bureau,program
Illinois,2018,61662,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
Indiana,2018,32858,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
Iowa,2018,18452,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
Kansas,2018,12306,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
Kentucky,2018,17352,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
Louisiana,2018,14988,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
Maine,2018,10554,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
Maryland,2018,32975,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
Massachusetts,2018,46290,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
Michigan,2018,58623,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
Minnesota,2018,25059,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
Mississippi,2018,12284,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
Missouri,2018,37796,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
Montana,2018,6693,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
Nebraska,2018,6974,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
Nevada,2018,6693,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
New Hampshire,2018,13625,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
New Jersey,2018,55714,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
New Mexico,2018,6693,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
New York,2018,150485,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
North Carolina,2018,24606,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
North Dakota,2018,6693,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
Ohio,2018,76753,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
Oklahoma,2018,11015,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
Oregon,2018,15402,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
Pennsylvania,2018,54006,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
Rhode Island,2018,9155,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
South Carolina,2018,13967,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
South Dakota,2018,6693,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
Tennessee,2018,19806,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
Texas,2018,62316,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
Utah,2018,7184,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
Vermont,2018,6693,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
Virginia,2018,27902,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
Washington,2018,23710,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
West Virginia,2018,21254,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
Wisconsin,2018,36859,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
Wyoming,2018,6693,Environmental Protection Agency,Office of Water,Capitalization Grants for Clean Water State Revolving Fund
Alabama,2016,799112,Department of Transportation,Federal Highway Administration,Highway Planning and Construction
Alaska,2016,537084,Department of Transportation,Federal Highway Administration,Highway Planning and Construction
Arizona,2016,720993,Department of Transportation,Federal Highway Administration,Highway Planning and Construction
Arkansas,2016,574997,Department of Transportation,Federal Highway Administration,Highway Planning and Construction
California,2016,3551626,Department of Transportation,Federal Highway Administration,Highway Planning and Construction
Colorado,2016,644324,Department of Transportation,Federal Highway Administration,Highway Planning and Construction
Connecticut,2016,515092,Department of Transportation,Federal Highway Administration,Highway Planning and Construction
Delaware,2016,191419,Department of Transportation,Federal Highway Administration,Highway Planning and Construction
District of Columbia,2016,168122,Department of Transportation,Federal Highway Administration,Highway Planning and Construction
Florida,2016,1905824,Department of Transportation,Federal Highway Administration,Highway Planning and Construction
Georgia,2016,1349074,Department of Transportation,Federal Highway Administration,Highway Planning and Construction
Hawaii,2016,87583,Department of Transportation,Federal Highway Administration,Highway Planning and Construction
Idaho,2016,300077,Department of Transportation,Federal Highway Administration,Highway Planning and Construction
Illinois,2016,1563987,Department of Transportation,Federal Highway Administration,Highway Planning and Construction
Indiana,2016,964416,Department of Transportation,Federal Highway Administration,Highway Planning and Construction
Iowa,2016,513655,Department of Transportation,Federal Highway Administration,Highway Planning and Construction
Kansas,2016,397694,Department of Transportation,Federal Highway Administration,Highway Planning and Construction
Kentucky,2016,761491,Department of Transportation,Federal Highway Administration,Highway Planning and Construction
Louisiana,2016,722458,Department of Transportation,Federal Highway Administration,Highway Planning and Construction
Maine,2016,193681,Department of Transportation,Federal Highway Administration,Highway Planning and Construction
Maryland,2016,612067,Department of Transportation,Federal Highway Administration,Highway Planning and Construction
Massachusetts,2016,670971,Department of Transportation,Federal Highway Administration,Highway Planning and Construction
Michigan,2016,1108361,Department of Transportation,Federal Highway Administration,Highway Planning and Construction
Minnesota,2016,655780,Department of Transportation,Federal Highway Administration,Highway Planning and Construction
Mississippi,2016,539946,Department of Transportation,Federal Highway Administration,Highway Planning and Construction
Missouri,2016,977083,Department of Transportation,Federal Highway Administration,Highway Planning and Construction
Montana,2016,437149,Department of Transportation,Federal Highway Administration,Highway Planning and Construction
Nebraska,2016,321417,Department of Transportation,Federal Highway Administration,Highway Planning and Construction
Nevada,2016,356226,Department of Transportation,Federal Highway Administration,Highway Planning and Construction
New Hampshire,2016,172088,Department of Transportation,Federal Highway Administration,Highway Planning and Construction
New Jersey,2016,765215,Department of Transportation,Federal Highway Administration,Highway Planning and Construction
New Mexico,2016,363493,Department of Transportation,Federal Highway Administration,Highway Planning and Construction
New York,2016,1844419,Department of Transportation,Federal Highway Administration,Highway Planning and Construction
North Carolina,2016,1041005,Department of Transportation,Federal Highway Administration,Highway Planning and Construction
North Dakota,2016,262380,Department of Transportation,Federal Highway Administration,Highway Planning and Construction
Ohio,2016,1433330,Department of Transportation,Federal Highway Administration,Highway Planning and Construction
Oklahoma,2016,654658,Department of Transportation,Federal Highway Administration,Highway Planning and Construction
Oregon,2016,512263,Department of Transportation,Federal Highway Administration,Highway Planning and Construction
Pennsylvania,2016,1970757,Department of Transportation,Federal Highway Administration,Highway Planning and Construction
Rhode Island,2016,218108,Department of Transportation,Federal Highway Administration,Highway Planning and Construction
South Carolina,2016,705532,Department of Transportation,Federal Highway Administration,Highway Planning and Construction
South Dakota,2016,293379,Department of Transportation,Federal Highway Administration,Highway Planning and Construction
Tennessee,2016,825202,Department of Transportation,Federal Highway Administration,Highway Planning and Construction
Texas,2016,3331401,Department of Transportation,Federal Highway Administration,Highway Planning and Construction
Utah,2016,375376,Department of Transportation,Federal Highway Administration,Highway Planning and Construction
